packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us,censorlab_packet_index,action,blocked
1,0,-1,calibration,calibration,,calibration,-1,0,1,client_to_server,calibration,tcp,198.51.100.1,8443,28,0,2,drop,1
2,0,-1000,probe,text,d859f3efefff72636b493ec139908da8,direct-0,0,0,1,client_to_server,data,tcp,198.51.100.1,8443,185,1000000,3,drop,1
3,0,-1000,probe,text,d859f3efefff72636b493ec139908da8,direct-0,0,0,1,server_to_client,ack,tcp,198.51.100.1,8443,38,1091000,4,allow,0
4,0,-1001,probe,text,18ebaeff0c67e4a757a1f0635632695f,fixed-0,0,0,1,client_to_server,data,tcp,198.51.100.2,8443,185,2000000,5,allow,0
5,0,-1001,probe,text,18ebaeff0c67e4a757a1f0635632695f,fixed-0,0,0,1,server_to_client,ack,tcp,198.51.100.2,8443,38,2081000,6,allow,0
6,0,-1002,probe,text,abf283352ff2666cd7cbbb8adce111e4,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,3000000,7,allow,0
7,0,-1002,probe,text,abf283352ff2666cd7cbbb8adce111e4,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,3131000,8,allow,0
8,0,-1003,probe,text,5b4611b34003a05995036b7a1c57186c,generated-1,0,0,1,client_to_server,data,tcp,203.0.113.11,8443,185,4000000,9,allow,0
9,0,-1003,probe,text,5b4611b34003a05995036b7a1c57186c,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,4141000,10,allow,0
10,0,-1004,probe,text,18a9e5a83b3f76a23e3642529afdebeb,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,185,5000000,11,allow,0
11,0,-1004,probe,text,18a9e5a83b3f76a23e3642529afdebeb,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,5171000,12,allow,0
12,0,-1005,probe,text,2d136f02d0a735cd4445173abb527d60,ephemeral-1,0,0,1,client_to_server,data,udp,203.0.113.21,8443,185,6000000,13,allow,0
13,0,-1005,probe,text,2d136f02d0a735cd4445173abb527d60,ephemeral-1,0,0,1,server_to_client,ack,udp,203.0.113.21,8443,38,6181000,14,allow,0
14,0,0,application,text,300152316737f3037ff8c1fdb66f2636,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,601,7000000,15,allow,0
15,0,0,application,text,300152316737f3037ff8c1fdb66f2636,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,7131000,16,allow,0
16,0,0,application,text,300152316737f3037ff8c1fdb66f2636,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,601,7000000,17,allow,0
17,0,0,application,text,300152316737f3037ff8c1fdb66f2636,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,7171000,18,allow,0
18,0,1,application,presence,e8074336ce39af521572720617412764,generated-0,0,0,1,client_to_server,data,tcp,203.0.113.10,8443,185,8000000,19,drop,1
19,0,1,application,presence,e8074336ce39af521572720617412764,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,8131000,20,allow,0
20,0,1,application,presence,e8074336ce39af521572720617412764,ephemeral-0,1,0,1,client_to_server,data,udp,203.0.113.20,8443,185,8000000,21,drop,1
21,0,1,application,presence,e8074336ce39af521572720617412764,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,8171000,22,allow,0
22,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,0,5,client_to_server,data,tcp,203.0.113.10,8443,925,9000000,23,drop,1
23,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,1,5,client_to_server,data,tcp,203.0.113.10,8443,925,9001000,24,drop,1
24,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,2,5,client_to_server,data,tcp,203.0.113.10,8443,925,9002000,25,drop,1
25,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,3,5,client_to_server,data,tcp,203.0.113.10,8443,925,9003000,26,drop,1
26,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,4,5,client_to_server,data,tcp,203.0.113.10,8443,585,9004000,27,drop,1
27,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,generated-0,0,0,1,server_to_client,ack,tcp,203.0.113.10,8443,38,9135000,28,allow,0
28,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,0,5,client_to_server,data,udp,203.0.113.20,8443,925,9000000,29,drop,1
29,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,1,5,client_to_server,data,udp,203.0.113.20,8443,925,9001000,30,drop,1
30,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,2,5,client_to_server,data,udp,203.0.113.20,8443,925,9002000,31,drop,1
31,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,3,5,client_to_server,data,udp,203.0.113.20,8443,925,9003000,32,drop,1
32,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,4,5,client_to_server,data,udp,203.0.113.20,8443,585,9004000,33,drop,1
33,0,2,application,media,128f61ff774adeed8f91dd55b52d9161,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,9175000,34,allow,0
34,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,0,10,client_to_server,data,tcp,203.0.113.10,8443,925,10000000,35,drop,1
35,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,1,10,client_to_server,data,tcp,203.0.113.10,8443,925,10001000,36,drop,1
36,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,2,10,client_to_server,data,tcp,203.0.113.10,8443,925,10002000,37,drop,1
37,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,3,10,client_to_server,data,tcp,203.0.113.10,8443,925,10003000,38,drop,1
38,0,3,application,file,1dbeb508e98f6815352488cfcaea8750,generated-0,0,4,10,client_to_server,data,tcp,203.0.113.10,8443,925,10004000,39,drop,1
